,NAME,index_right,RTE,DIR,KEYITEM,RTE_DESC,DIR_DESC,ROUTE,TYPE
42,CPO 7 SOMMERSET WEST-ELMONICA S,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
50,CENTRAL BEAVERTON,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
59,ROCKWOOD,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
68,SULLIVAN'S GULCH / GRANT PARK,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
120,MADISON SOUTH,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
164,CPO 1 CEDAR HILLS-CEDAR MILL N,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
195,ARLINGTON HEIGHTS,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
196,ARLINGTON HEIGHTS/SYLVAN-HIGHLANDS,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
209,ROSE CITY PARK,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
220,HOLLYWOOD,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
222,LLOYD DISTRICT COMMUNITY ASSOCIATION,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
223,SULLIVAN'S GULCH,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
225,MONTAVILLA,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
226,LAURELHURST,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
230,KERNS,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
234,GLENFAIR,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
235,PORTLAND DOWNTOWN,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
237,GOOSE HOLLOW/SOUTHWEST HILLS,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
275,HAZELWOOD,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
276,OLD TOWN/ CHINATOWN,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
296,SYLVAN-HIGHLANDS,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
